x	 y
2.100609756097561	 -2.8758314855875833
2.1310975609756095	 -2.7671840354767183
2.1692073170731705	 -2.658536585365854
2.1996951219512195	 -2.565410199556541
2.2301829268292686	 -2.4722838137472283
2.260670731707317	 -2.3791574279379155
2.2911585365853657	 -2.270509977827051
2.3216463414634148	 -2.1773835920177382
2.3597560975609757	 -2.0997782705099777
2.3826219512195124	 -1.991130820399113
2.4283536585365852	 -1.8980044345898004
2.451219512195122	 -1.8048780487804876
2.489329268292683	 -1.696230598669623
2.519817073170732	 -1.5720620842572062
2.5655487804878048	 -1.4789356984478934
2.596036585365854	 -1.3702882483370287
2.6265243902439024	 -1.292682926829268
2.649390243902439	 -1.1840354767184034
2.7027439024390243	 -1.0909090909090908
2.7484756097560976	 -0.9977827050997781
2.7865853658536586	 -0.9046563192904653
2.817073170731707	 -0.8270509977827052
2.8628048780487805	 -0.7494456762749446
2.9009146341463414	 -0.6407982261640797
2.9390243902439024	 -0.5631929046563191
2.9771341463414633	 -0.5011086474501107
3.0304878048780486	 -0.407982261640798
3.0609756097560976	 -0.3148558758314852
3.091463414634146	 -0.2372505543237251
3.129573170731707	 -0.1751662971175163
3.167682926829268	 -0.11308203991130794
3.198170731707317	 -0.06651884700665178
3.236280487804878	 -0.0044345898004434225
3.274390243902439	 0.07317073170731714
3.3048780487804876	 0.11973392461197374
3.350609756097561	 0.21286031042128606
3.3963414634146343	 0.2749445676274944
3.442073170731707	 0.352549889135255
3.495426829268293	 0.43015521064301554
3.6021341463414633	 0.5853658536585367
3.548780487804878	 0.5077605321507761
3.6478658536585367	 0.6629711751662972
3.701219512195122	 0.7405764966740578
3.754573170731707	 0.8026607538802661
3.8079268292682924	 0.8802660753880267
3.8536585365853657	 0.9578713968957873
3.9070121951219514	 1.019955654101996
3.9679878048780486	 1.0975609756097562
4.021341463414634	 1.1441241685144128
4.067073170731708	 1.221729490022173
4.128048780487805	 1.2682926829268295
4.196646341463414	 1.3303769401330383
4.242378048780488	 1.4079822616407984
4.303353658536585	 1.5011086474501107
4.3567073170731705	 1.5476718403547673
4.425304878048781	 1.6097560975609762
4.486280487804878	 1.6563192904656319
4.554878048780488	 1.7339246119733929
4.6310975609756095	 1.7960088691796008
4.684451219512195	 1.8425720620842574
4.753048780487805	 1.889135254988914
4.829268292682927	 1.9356984478935697
4.890243902439025	 1.9977827050997785
4.951219512195122	 2.044345898004435
4.996951219512195	 2.090909090909091
5.057926829268293	 2.1374722838137474
5.126524390243903	 2.184035476718404
5.210365853658537	 2.2305986696230597
5.271341463414634	 2.2771618625277164
5.347560975609756	 2.323725055432373
5.423780487804878	 2.3702882483370296
5.477134146341463	 2.4168514412416853
5.545731707317073	 2.4478935698447897
5.6067073170731705	 2.4944567627494463
5.660060975609756	 2.541019955654102
5.736280487804878	 2.556541019955654
5.789634146341463	 2.5720620842572064
5.850609756097561	 2.618625277161863
5.9192073170731705	 2.6496674057649674
5.987804878048781	 2.696230598669623
6.0564024390243905	 2.7272727272727275
6.125	 2.758314855875832
6.1935975609756095	 2.8048780487804885
6.254573170731707	 2.835920177383592
6.338414634146341	 2.898004434589801
6.399390243902439	 2.898004434589801
6.483231707317072	 2.9445676274944574
6.559451219512195	 2.975609756097561
6.628048780487805	 3.0221729490022176
6.696646341463415	 3.053215077605322
6.765243902439025	 3.0842572062084264
6.841463414634147	 3.1463414634146343
6.940548780487805	 3.1773835920177387
7.009146341463414	 3.192904656319291
6.8948170731707314	 3.1463414634146343
7.0625	 3.208425720620843
7.138719512195122	 3.2239467849223953
7.214939024390244	 3.254988913525499
7.291158536585366	 3.254988913525499
7.375	 3.348115299334812
7.428353658536586	 3.3946784922394686
7.512195121951219	 3.425720620842572
7.565548780487805	 3.4412416851441243
7.641768292682927	 3.4722838137472287
7.725609756097561	 3.5188470066518853
7.817073170731708	 3.5343680709534375
7.8932926829268295	 3.549889135254989
