Pi0 – flux	
E, GeV				E^2 dN/dE, GeV s-1 cm2
2.76287051482059	-6.11244979919679
2.91263650546022	-6.21285140562249
3.0811232449298		-6.32931726907631
3.26209048361934	-6.45783132530121
3.42433697347894	-6.57429718875502
3.63026521060842	-6.71887550200803
3.82995319812793	-6.85542168674699
4.03588143525741	-7.00803212851406
4.26677067082683	-7.1566265060241
4.54134165366615	-7.34939759036145
4.77223088923557	-7.50602409638554
5.01560062402496	-7.68674698795181
5.24648985959438	-7.82730923694779
5.47113884555382	-7.99196787148594
5.70202808112325	-8.16064257028113
5.91419656786271	-8.29317269076305

